;###001 - THIS LINE CONTAINS VERSION INFORMATION. DO NOT REMOVE!!!

;ALARMS
 
;Analog Alarms
;Analog A,Tagname,HandshakeTagName,HandshakeAutoReset,Acktagname,AckAutoreset,Deadbandvalue,DeadbandType,Outofalarmlabel,AlarmIdentification,Ack File Msg,Ack Printer Message, Ack Message Source,Out of Alm file msg,Out of Alm printer msg,Out of Alm Message Source ,Thresh1 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh2 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh3 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh4 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh5 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh6 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh7 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh8 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,
 
;Digital Alarms
;Digital D,Tagname,type,Label,Severity,Message Source,File msg,Printer msg,Out of alm msg source,Out Of alm File msg,Out of alm Printer msg,Ack msg source,Ack File msg,Ack Printer msg,Alarm Identify,Out of alm label,Ack Tag Name,Ack Auto Reset,Handshake Tag Name,Handshake Auto Reset
"D","SLC140\Alarm\Lvl_Low_BalanceTank","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\PID_LOOP_MANUAL","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\PLC_Rack_0_Group_0","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\PLC_Rack_0_Group_2","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\PLC_Rack_0_Group_4","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\PLC_Rack_0_Group_6","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\PLC_Rack_1_Group_0","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\PLC_Rack_1_Group_2","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\PLC_Rack_1_Group_4","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\PLC_Rack_1_Group_6","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\PLC_Rack_2_Group_0","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\PLC_Rack_2_Group_2","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\PLC_Rack_2_Group_4","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\PLC_Rack_2_Group_6","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\PLC_Rack_3_Group_0","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\PLC_Rack_3_Group_2","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\PLC_Rack_3_Group_4","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\PLC_Rack_3_Group_6","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\Power_CP110","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\Power_CP130","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\PSI_Diff_CoolingSectn","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\PSI_Diff_HeatSection","ON","","1","S","","","S","","","S","","","","","","N","","N"
